Time,HA_MISG1,HpA_MISG1,HA_MISG2,HpA_MISG2,HA_MISG3,HpA_MISG3,HA_MISG4,HpA_MISG4,HA_MISG5,HpA_MISG5,HA_MISG6,HpA_MISG6,HA_MISG7,HpA_MISG7,HA_MISG8,HpA_MISG8,HA_MISG9,HpA_MISG9
20.0,20899.4,14210.2,15830.1,14210.2,16115.2,14225.9,16221.8,14270.1,16377.7,19897.4,16525.4,19897.4,16584.7,20266.3,18278.2,20266.3,18985.0,20266.3
40.0,20903.2,14200.7,15822.0,14200.7,16124.8,14215.4,16227.6,14265.5,16377.7,19908.9,16529.2,19908.9,16581.8,20264.5,18278.4,20264.5,18969.2,20264.5
60.0,20904.3,14212.2,15835.7,14212.2,16116.4,14225.9,16224.3,14271.1,16390.3,19900.3,16518.3,19900.3,16574.8,20261.9,18276.1,20261.9,18984.6,20261.9
80.0,20911.4,14211.7,15825.5,14211.7,16095.6,14216.9,16223.9,14270.1,16389.2,19889.0,16519.6,19889.0,16578.1,20254.9,18274.6,20254.9,18988.7,20254.9
100.0,20918.7,14198.3,15828.6,14198.3,16101.1,14210.3,16230.2,14281.4,16377.5,19886.3,16526.9,19886.3,16576.0,20251.2,18273.4,20251.2,18997.4,20251.2
120.0,20911.5,14201.0,15813.0,14201.0,16096.1,14222.8,16203.9,14267.9,16378.8,19884.8,16517.3,19884.8,16579.6,20256.3,18271.4,20256.3,18985.3,20256.3
140.0,20901.4,14199.0,15831.8,14199.0,16089.5,14206.3,16210.5,14271.6,16371.6,19883.3,16508.7,19883.3,16562.4,20262.1,18271.9,20262.1,18981.7,20262.1
160.0,20897.7,14199.8,15829.5,14199.8,16100.5,14212.9,16210.1,14269.4,16371.8,19888.4,16509.7,19888.4,16554.1,20271.8,18269.0,20271.8,18974.8,20271.8
180.0,20916.2,14198.5,15822.0,14198.5,16101.4,14206.1,16210.1,14269.9,16365.5,19880.0,16511.5,19880.0,16572.0,20269.2,18277.0,20269.2,18997.6,20269.2
200.0,20896.0,14205.2,15822.5,14205.2,16085.5,14212.1,16204.2,14271.7,16389.3,19883.5,16517.6,19883.5,16569.6,20271.0,18273.8,20271.0,18997.6,20271.0
220.0,20889.8,14198.8,15832.0,14198.8,16091.2,14215.6,16216.9,14271.1,16377.4,19899.0,16509.7,19899.0,16550.9,20262.4,18271.7,20262.4,18983.4,20262.4
240.0,20913.0,14190.3,15830.3,14190.3,16092.8,14210.5,16208.6,14260.9,16374.4,19890.1,16501.7,19890.1,16566.8,20258.1,18269.1,20258.1,18972.0,20258.1
260.0,20909.6,14183.6,15844.1,14183.6,16092.2,14208.8,16217.5,14266.2,16368.0,19887.1,16518.5,19887.1,16565.3,20259.2,18266.5,20259.2,18993.9,20259.2
280.0,20898.0,14193.8,15819.5,14193.8,16087.2,14213.9,16211.8,14273.2,16364.2,19890.4,16502.5,19890.4,16554.4,20271.0,18284.0,20271.0,18973.9,20271.0
300.0,20899.2,14201.5,15831.9,14201.5,16095.0,14204.3,16212.6,14263.7,16369.4,19879.5,16515.6,19879.5,16551.7,20258.6,18244.8,20258.6,18969.8,20258.6
320.0,20907.6,14199.9,15828.3,14199.9,16074.9,14206.7,16220.8,14270.7,16369.8,19884.3,16516.4,19884.3,16549.1,20276.9,18272.4,20276.9,18968.2,20276.9
340.0,20899.7,14204.2,15815.1,14204.2,16078.0,14204.5,16225.3,14261.8,16372.0,19874.4,16490.9,19874.4,16543.3,20263.1,18261.5,20263.1,18967.9,20263.1
360.0,20889.3,14184.5,15825.0,14184.5,16073.7,14208.7,16202.3,14265.2,16361.7,19875.7,16489.1,19875.7,16544.2,20262.3,18245.0,20262.3,18963.3,20262.3
380.0,20889.3,14198.4,15834.1,14198.4,16076.8,14208.2,16213.7,14257.7,16366.9,19874.4,16484.4,19874.4,16552.2,20275.2,18241.5,20275.2,18967.0,20275.2
400.0,20887.8,14189.4,15828.7,14189.4,16062.8,14204.3,16207.0,14269.2,16364.7,19865.9,16485.9,19865.9,16545.8,20246.7,18255.4,20246.7,18967.7,20246.7
420.0,20916.1,14188.7,15839.2,14188.7,16077.0,14200.1,16205.7,14254.1,16367.0,19865.3,16482.8,19865.3,16541.2,20254.8,18256.0,20254.8,18957.6,20254.8
440.0,20896.6,14190.2,15830.3,14190.2,16062.6,14194.5,16196.7,14253.2,16358.8,19868.4,16491.6,19868.4,16527.1,20270.6,18247.3,20270.6,18963.4,20270.6
460.0,20899.6,14185.6,15829.1,14185.6,16074.4,14192.5,16181.4,14266.6,16347.3,19863.3,16494.4,19863.3,16533.4,20264.9,18255.5,20264.9,18975.9,20264.9
480.0,20905.0,14184.2,15839.4,14184.2,16070.4,14196.6,16198.9,14254.9,16368.0,19864.0,16502.2,19864.0,16531.1,20271.3,18260.3,20271.3,18974.0,20271.3
500.0,20907.2,14191.5,15819.7,14191.5,16069.4,14192.1,16190.1,14259.3,16358.9,19870.8,16491.3,19870.8,16530.4,20265.7,18254.8,20265.7,18953.5,20265.7
520.0,20905.2,14181.4,15816.6,14181.4,16060.5,14194.8,16189.2,14259.8,16357.4,19849.3,16496.0,19849.3,16535.2,20274.3,18247.1,20274.3,18949.0,20274.3
540.0,20894.6,14194.7,15818.4,14194.7,16068.2,14191.3,16198.6,14257.1,16370.0,19854.0,16486.5,19854.0,16547.7,20275.7,18237.8,20275.7,18945.6,20275.7
560.0,20895.8,14191.6,15815.5,14191.6,16074.9,14192.5,16190.3,14253.4,16379.1,19850.3,16493.7,19850.3,16542.2,20266.1,18261.7,20266.1,18958.7,20266.1
580.0,20895.7,14195.5,15823.3,14195.5,16081.0,14188.5,16199.7,14257.1,16362.6,19836.8,16497.1,19836.8,16524.1,20262.2,18235.5,20262.2,18968.4,20262.2
600.0,20916.3,14184.4,15807.3,14184.4,16079.7,14189.7,16184.1,14261.4,16352.7,19856.3,16486.3,19856.3,16530.7,20288.8,18247.4,20288.8,18970.8,20288.8
620.0,20892.0,14184.4,15804.3,14184.4,16077.6,14190.2,16187.6,14247.1,16376.5,19849.8,16486.2,19849.8,16506.1,20260.8,18226.6,20260.8,18971.5,20260.8
640.0,20901.9,14185.9,15814.0,14185.9,16058.1,14188.3,16199.8,14252.6,16371.1,19850.3,16474.7,19850.3,16513.7,20250.1,18237.4,20250.1,18968.5,20250.1
660.0,20917.9,14191.6,15809.3,14191.6,16069.9,14187.4,16191.6,14246.0,16357.2,19851.8,16473.8,19851.8,16516.7,20256.9,18238.1,20256.9,18967.2,20256.9
680.0,20911.1,14183.9,15809.4,14183.9,16065.3,14186.3,16197.7,14251.8,16371.6,19845.4,16479.3,19845.4,16525.3,20249.4,18240.6,20249.4,18961.1,20249.4
700.0,20898.9,14191.2,15810.3,14191.2,16066.1,14179.7,16192.2,14242.0,16373.5,19841.1,16478.9,19841.1,16516.0,20280.8,18245.0,20280.8,18959.0,20280.8
720.0,20901.1,14195.0,15816.4,14195.0,16056.4,14176.1,16193.3,14252.6,16358.8,19850.2,16486.1,19850.2,16530.3,20264.0,18240.7,20264.0,18957.9,20264.0
740.0,20899.9,14186.8,15821.3,14186.8,16073.1,14184.0,16192.1,14244.5,16363.2,19841.0,16478.8,19841.0,16522.8,20278.9,18246.1,20278.9,18952.1,20278.9
760.0,20889.7,14175.6,15818.7,14175.6,16075.2,14181.0,16194.4,14246.4,16356.9,19857.2,16478.7,19857.2,16519.7,20274.9,18248.8,20274.9,18961.0,20274.9
780.0,20898.8,14183.0,15821.8,14183.0,16057.2,14170.9,16193.5,14253.9,16346.8,19836.0,16495.4,19836.0,16502.3,20246.7,18244.2,20246.7,18951.9,20246.7
800.0,20898.5,14189.3,15808.9,14189.3,16070.4,14177.4,16189.5,14247.0,16366.6,19848.5,16488.6,19848.5,16510.6,20252.8,18243.8,20252.8,18964.1,20252.8
820.0,20939.8,14186.2,15809.1,14186.2,16052.5,14174.6,16186.7,14245.2,16361.1,19834.1,16471.9,19834.1,16503.7,20260.7,18231.7,20260.7,18948.7,20260.7
840.0,20928.1,14195.8,15811.8,14195.8,16061.4,14173.5,16184.9,14246.1,16342.6,19838.8,16482.6,19838.8,16504.9,20241.0,18231.3,20241.0,18943.7,20241.0
860.0,20917.4,14189.6,15807.9,14189.6,16058.0,14165.6,16183.2,14248.2,16345.8,19853.9,16483.3,19853.9,16502.2,20252.8,18247.4,20252.8,18954.0,20252.8
880.0,20927.9,14185.9,15805.1,14185.9,16062.2,14187.8,16185.9,14243.7,16353.4,19830.2,16470.2,19830.2,16508.3,20257.7,18240.8,20257.7,18947.7,20257.7
900.0,20931.6,14194.4,15795.3,14194.4,16056.9,14165.0,16188.8,14257.2,16346.4,19832.0,16488.9,19832.0,16512.3,20270.3,18220.3,20270.3,18934.3,20270.3
920.0,20919.5,14188.7,15804.3,14188.7,16056.3,14173.8,16181.4,14247.1,16346.3,19842.1,16465.5,19842.1,16519.8,20259.8,18227.3,20259.8,18942.6,20259.8
940.0,20925.9,14188.7,15819.1,14188.7,16062.4,14174.8,16185.6,14243.7,16350.1,19856.3,16476.7,19856.3,16514.8,20269.6,18231.4,20269.6,18949.5,20269.6
960.0,20922.3,14186.7,15813.8,14186.7,16062.9,14171.7,16165.8,14244.8,16352.3,19829.9,16462.7,19829.9,16513.3,20253.4,18228.7,20253.4,18951.4,20253.4
980.0,20911.5,14185.8,15818.2,14185.8,16058.2,14169.5,16168.5,14245.7,16355.1,19817.3,16459.0,19817.3,16504.4,20265.2,18222.0,20265.2,18950.3,20265.2
1000.0,20922.9,14178.8,15796.6,14178.8,16057.6,14171.1,16175.2,14246.8,16352.1,19824.7,16470.2,19824.7,16496.8,20254.8,18222.0,20254.8,18942.6,20254.8
1020.0,20934.4,14182.5,15782.9,14182.5,16064.9,14168.8,16183.1,14249.2,16348.5,19829.3,16471.8,19829.3,16519.3,20254.8,18223.9,20254.8,18952.7,20254.8
1040.0,20913.9,14178.6,15806.4,14178.6,16041.5,14171.3,16175.0,14239.5,16353.6,19834.2,16472.4,19834.2,16496.9,20259.3,18245.2,20259.3,18947.6,20259.3
1060.0,20911.7,14182.7,15809.2,14182.7,16050.6,14166.9,16162.8,14240.5,16339.6,19830.3,16469.6,19830.3,16506.2,20235.3,18228.1,20235.3,18939.3,20235.3
1080.0,20903.3,14177.5,15804.8,14177.5,16047.0,14167.3,16173.5,14240.5,16343.8,19822.3,16464.7,19822.3,16519.3,20249.3,18224.7,20249.3,18949.6,20249.3
1100.0,20916.9,14179.6,15800.7,14179.6,16059.8,14173.4,16166.3,14231.4,16353.1,19812.2,16458.7,19812.2,16500.1,20237.8,18213.7,20237.8,18931.7,20237.8
1120.0,20903.7,14176.0,15796.6,14176.0,16059.1,14159.7,16157.9,14227.8,16360.2,19830.0,16469.2,19830.0,16521.9,20248.1,18210.1,20248.1,18940.5,20248.1
1140.0,20918.0,14171.7,15803.6,14171.7,16052.0,14160.0,16159.5,14236.3,16343.3,19810.3,16455.8,19810.3,16515.8,20238.8,18211.4,20238.8,18937.1,20238.8
1160.0,20902.5,14176.2,15804.9,14176.2,16050.1,14161.0,16150.1,14233.7,16349.5,19811.4,16466.2,19811.4,16514.3,20247.1,18203.1,20247.1,18935.3,20247.1
1180.0,20891.1,14177.5,15810.1,14177.5,16063.2,14155.6,16154.6,14234.2,16345.6,19806.5,16450.3,19806.5,16516.4,20260.5,18210.6,20260.5,18932.3,20260.5
1200.0,20909.9,14171.3,15798.3,14171.3,16038.6,14159.0,16163.8,14231.2,16349.4,19799.4,16447.9,19799.4,16519.5,20254.0,18198.7,20254.0,18938.4,20254.0
1220.0,21105.6,14194.9,15962.3,14194.9,16264.6,14185.1,16365.8,14265.5,16521.4,19862.4,16612.2,19862.4,16663.1,20287.0,18337.4,20287.0,19051.2,20287.0
1240.0,21292.5,14267.6,16214.7,14267.6,16505.8,14261.2,16675.8,14323.9,16742.7,19957.0,16892.8,19957.0,16937.0,20356.9,18537.0,20356.9,19205.1,20356.9
1260.0,21362.3,14288.7,16298.0,14288.7,16652.4,14283.0,16777.9,14361.6,16842.1,19986.0,16982.1,19986.0,17042.7,20400.1,18625.8,20400.1,19264.0,20400.1
1280.0,21399.9,14328.3,16366.8,14328.3,16710.8,14291.8,16853.9,14369.2,16929.9,20004.9,17048.7,20004.9,17095.1,20415.9,18686.2,20415.9,19304.1,20415.9
1300.0,21473.5,14343.8,16421.7,14343.8,16781.7,14306.5,16938.0,14382.8,16980.5,20029.1,17091.5,20029.1,17161.4,20440.0,18731.7,20440.0,19359.1,20440.0
1320.0,21489.8,14356.0,16480.9,14356.0,16835.2,14335.4,16984.5,14398.6,17004.1,20050.9,17124.0,20050.9,17153.3,20436.8,18765.2,20436.8,19362.2,20436.8
1340.0,21565.1,14360.5,16493.6,14360.5,16841.4,14333.8,17021.7,14403.7,17048.3,20059.9,17157.2,20059.9,17194.8,20445.3,18814.7,20445.3,19390.7,20445.3
1360.0,21588.0,14347.8,16546.8,14347.8,16890.7,14337.0,17077.7,14405.9,17051.9,20053.1,17184.4,20053.1,17231.8,20430.8,18834.9,20430.8,19398.4,20430.8
1380.0,21600.3,14360.3,16556.6,14360.3,16912.9,14340.2,17114.3,14417.9,17073.7,20058.7,17220.1,20058.7,17262.5,20446.8,18856.3,20446.8,19421.2,20446.8
1400.0,21642.0,14376.8,16604.0,14376.8,16950.5,14362.6,17122.8,14416.6,17114.9,20069.9,17241.3,20069.9,17281.3,20469.6,18875.3,20469.6,19448.0,20469.6
1420.0,21655.4,14362.4,16608.4,14362.4,16978.2,14364.2,17152.4,14423.2,17135.9,20083.3,17272.9,20083.3,17315.9,20442.6,18896.8,20442.6,19437.8,20442.6
1440.0,21635.8,14372.8,16635.0,14372.8,16992.5,14368.1,17160.4,14415.7,17165.9,20078.4,17276.1,20078.4,17325.2,20463.4,18929.2,20463.4,19427.6,20463.4
1460.0,21671.3,14373.7,16664.4,14373.7,17002.5,14373.3,17175.9,14426.5,17173.5,20097.3,17284.2,20097.3,17340.2,20465.4,18934.8,20465.4,19457.0,20465.4
1480.0,21696.0,14382.0,16679.5,14382.0,17042.4,14367.7,17194.3,14414.8,17153.8,20093.4,17298.5,20093.4,17354.0,20476.6,18935.4,20476.6,19444.1,20476.6
1500.0,21692.4,14383.6,16689.8,14383.6,17065.4,14372.5,17212.8,14420.8,17207.8,20104.2,17314.4,20104.2,17382.5,20479.2,18944.9,20479.2,19465.7,20479.2
1520.0,21707.3,14387.8,16707.3,14387.8,17046.2,14379.1,17231.5,14419.0,17209.3,20079.8,17324.1,20079.8,17389.1,20478.9,18958.7,20478.9,19473.8,20478.9
1540.0,21716.0,14377.4,16744.3,14377.4,17109.8,14387.0,17240.0,14423.8,17218.1,20092.2,17341.6,20092.2,17400.0,20486.0,18980.9,20486.0,19490.6,20486.0
1560.0,21724.5,14383.9,16714.3,14383.9,17082.2,14381.1,17250.0,14432.3,17240.9,20092.3,17360.5,20092.3,17399.4,20497.5,19006.4,20497.5,19506.5,20497.5
1580.0,21742.3,14399.2,16720.6,14399.2,17107.6,14393.0,17279.0,14432.3,17238.2,20090.3,17363.7,20090.3,17421.4,20492.9,18987.4,20492.9,19500.8,20492.9
1600.0,21765.0,14393.5,16758.7,14393.5,17111.6,14393.2,17292.8,14431.5,17253.1,20107.6,17374.3,20107.6,17406.6,20506.6,19009.5,20506.6,19532.3,20506.6
1620.0,21783.9,14397.3,16760.2,14397.3,17116.6,14397.7,17294.0,14431.5,17267.7,20105.4,17395.7,20105.4,17448.6,20517.9,19013.0,20517.9,19533.1,20517.9
